Address,esMP Amount
0xE929a7Be8688C7838Af191A12896563f2d8c867B,5272
0x7934948EfB0D550B4F41F22F06225DFBDa6411e6,5272
0x02934D64DA73e9cFb91bc37C47c15Cc71913CF16,5272
0xF05454C3D16090b652cf5389C9eE520ceC477E5e,5272
0x1943Ace446d52952879d77B0285DFc3e589075cC,5272
0x08f11Eaf4Be32B38FA4aD338e2cB25E05da677D1,5272
0xE939FD46240629a421499Ff9a1DdA8BdeE453aee,5272
0xEBB77A868333A20E9c3E614ddAA914a062105fe4,5272
0x456260AdFd1Bb42e0bdF9B6c9B604a9044142CB4,5272
0xBc0A9E1E6d4a436fff66B4143543790EDA24EC9e,5272
0x9c0a00B60e610217C798BA855a7e0ea799E6DaE8,5272
0x1C2C31627f0be406b6C13fAab22c56ffaEcf42DC,5272
0xc3c2198daE724401799B04Ac8CF42D09f0Fed3ef,5272
0x5eFAcB128A5A7F8fA716F0217b21fF1a4EF55BB2,5272
0x357A15f1D5feFF777fB38Ec5424cC2605C091fb8,5272
0x5743e93ab23A457150724cA18d9A0E35b17Cc8fC,5272
0x7bcF4e50A308Ca1b6C71B4f5A6d5fEf20E996164,5272
0x39F8c1F090e6739966e01A4d2fC210b110c9Bf8E,5272
0xA0532D1Cb259A7a003009f446EDbCCDcec22CB78,5272
0x05EA7a6da3440484ceCC6b64D957582e06837c57,5272
0x7A72610aba824163D340f63dFf7515a839156B04,5272
0x4a8e3D9485D55e0C5BCE5Bda6e98C052CF837cfF,5272
0xFd950f8eBea29f2c280A15679516842cda61D4A6,5272
0x0c72d3404dc10D594A7D00086cdE7B1C48e4C0d4,5272
0x84a17BEB2b9FD4f43b39c30df5992F6bd6738e77,5272
0x85eac63796091D8EC11463b897d99aF08352a821,5272
0xa75479236d3222192Cd32c1b205ceF3618fD69E0,78873
0xBC05cEC4b744D185F0AcF248195A9d05ba3Ae869,5272
0xea410a8DdFf7182fAa2b7A6B29911AD24dD67990,5272
0x750554C8CD238765FCDe9467E33E6e6d595265F2,5272
0xF05A47D3562C033bA063f48352bf48482F399476,5272
0xC6d7C81E6BBc887B0eae8BB2D1B005E79f06692A,5272
0x0e266Aa5d35A7bEDBc1777F8f3f3c96f2294823E,5272
0x0C93929360FF8b46a46c2dE1C8eDeA9541B78eB3,5272
0x1e215430E7F81D5660F554509d5EA64e1975962c,5272
0x528c22e1CfD2Cd6Eb6532DC934B3874c0f8BD7c4,5272
0x6C1EEa8598227d25e7ca0c13a2E66fF5979f2EDe,5272
0x3972D117BF71edA741c6c90c5337Ab50c63bF4A7,5272
0xDE6EA8E97C9bB6Bf86045a7e265a4E9132eebB50,5272
0x25010f1c1F79d755A39B7794c26aefB3eCa79732,5272
0x12A93caa79F4fda9554B97Cff93F734ea88032B0,5272
0x1d656Ad96e9B5ee3F498fB9c8e543546C60d15bD,5272
0x0Ce6A414d31494A504c49540FF6973E32367257a,78873
0x14b191966FBBFB7184719fEFaD35c91258AD7A24,5272
0xfA718C8D270500852dFBE6a8106a8A14f752b8aA,5272
0x6bb81585c44D6994e6306D621631Cb423e997aE2,5272
0x287843996F08A45072cB92D36Daa7d65a1A7989f,5272
0x6997a634d1C22CDfDFaEeA99B3884d9Ab70bD90E,5272
0xbf5c1Dd8C7B58Bd9C658aBbfF2Ba9db021687985,5272
0x34223719D75CBC336b77cCd8af6B9342bd6Af1cB,78873
0x321B4Bc91a38A61d6e0828f77DA1eB3E3BeCE8f8,5272
0xe9f798c7089E63946350C512e980B2027E9CbE66,5272
0x2bA518cE4a4594E5bBBD2190fF46f206Ba63Ac3c,78873
0x89B52473c70742190fDC13af9e31ac34B717FBfa,5272
0x1F6D1f864821de90ECF7Ee15f4A6FBcdFda42228,5272
0x2d3040F949fA53afe9eaF4eA57362376fe7bB38b,5272
0x2F57Ee2c42A54E8d06e444D2Ce7e032c93c7Fe7f,5272
0x52653B800ffa7b063440D9c5b658d4Fb758B637C,5272
0xe99487C80a8719B7f4d41a263F0A69c1E9dfDebc,5272
0x20E6fb5aa6F584fDfb65E966CD5CC65D1A853A57,78873
0x8E54514BA2dd5FB71292aF715a1168F696e06542,5272
0xf5642Fe16336E048487D0A1f46751EC7F571c7aE,5272
0xd0E6b2E818f02a7FF3Da6aA83e5FC7838042a869,5272
0xe1F21Ad5246a5b484c4925B26fA9Cc77e4B99CdA,5272
0x619eeE08FFB115d0715139362B15f7c11D37D2F0,5272
0x10eE16282A5fc8c1f3456417fba5B0e977Be194d,5272
0x2B64A658e65C28126abb5B7Ba178148E489f11DB,5272
0x04bb9e65A7884009578a993397B4425C5E4b1799,5272
0x3f35757D6B9897A311393aFDE45C5E856510d7f4,5272
0x3BE98364A723D2561a6D834C7c447FCEb3b882Df,5272
0x058AeC5B342Aa651EE3AA6d1d1B0413019C60B2F,5272
0x230080Bf1ee856D5F9f65CDc20aB53e8860cFA68,5272
0x9259A58f7a9642B03B2cBD19E19A7A04a4E3F8fb,5272
0x9E7465bac9D5c87bd4BEA5BA025034C9854B4c58,5272
0x05e49ce06d4b647f42EE033d511e02A8056EEA51,5272
0xdA3914dA964c6669436B886822339039EeC973Df,5272
0x64Fbd8cD628A6Ae665360226FF2f5495D2737EC7,5272
0x400Cf2d48037Cbe0A8F666feDA8b7423F63F946E,5272
0xd706D8E6B75B3Bd6f97C30BDA05dE8b2d3F2ea43,5272
0x12BC6cf2c555898E2c8bB575dfad065432e1CC58,5272
0x203877A38ffaC9bF29c55229D8Dd7C3B8eDA6f07,5272
0x78399fe186b5368C31C4bEdA2d4E2ddC53b3e303,5272
0xe5922Ad895b475023E8d7da50F914B8391D13a6E,5272
0xb2a232dF571CF2FD4fCd0b4107Ce250D2710e8E8,5272
0xB92E889c180BB806D1BA2436Cf9f75E8AEa0a40b,5272
0x6d17a77Db03a5E2231F7E92D2EBf416fa6E1e9bD,5272
0xe8eFCe957DAf42379baAAE14f3A362aD31D613E3,5272
0x1cd14602425EFeAD850db5b2ECb6f6FB9059e7B6,5272
0x362C4A4d00B15eA3313D58FD3198856829e5ACEB,5272
0xC1aeeFFFb35824331f6d6CC5370112274279dc2e,5272
0x5102FF261d9f6f1336283a85128055d189f726f9,5272
0xe22e95446c841F30CB9ef0E27F861EE14c441757,5272
0xC86b2Ae595e27f4c7e347a4bBBDF87358c83A813,78873
0x58CE3C030cedA4A1141B2D21bfEfFDbf44BFf921,5272
0x0E56De31D4E033f48bc17080065Ca7acB811559d,5272
0x031da9590e170Ee3d5aC39c42368e6c8F7416140,5272
0xD3eCD410DA8Fd6578011C6AEf8C4EE92d6a08C6A,5272
0x5E3287f676Bf81bb21FA2741e9D74aEed22275D1,5272
0xd8e54aa330f48E58e68b3701DcBdA9Af12e387e5,5272
0xaD1daeeD9BB7972b7f6BEFe6C9B2a80e858b1140,5272
0x857947C8D7B919d15473D58AcAB47f42d0cC610a,5272
0x74e3B9d0378F19BCeEa04326676531CE62907b2e,5272
0x89A4992f1214E8Cc22eF67A06AcDD20067D86302,5272
0x971A0F0334A768e966A8e2200d0228d784CdEf8A,5272
0x5aC6DD69d7C032c5595A655fa366c8C3dc708D92,5272
0x1e35cD1759af269fb7EE3e3fF32507c2Ce023618,5272
0x75Ff68BDe78974ab54a642fD294369447bD9Feef,5272
0x14DC118bAED51e9b309e65f4146E1f74F646C0d4,5272
0x030Aa1085B8D85c12B1CD4D22A9998431931195f,5272
0x6Ac688e04f35F7507D1067ADc0a31ce08e5136d4,5272
0x1cA018C20FB01b40F7Dfa52258D620A6a0ed3769,5272
0x7084aBa43302d46B36C2B49aFed44cAbB61479fE,5272
0xa5c27BFe3BBd5af97Fa02D9101852DC5AAf72107,5272
0xBa8232c78034f547929fA3e768D0122Bec00aE97,5272
0x38Cd1a8474A948a5a3e4d4b06c4069F2116DD184,5272
0xa9ff99346829E7c578E6d38C2269997a2FCcEEE1,5272
0xd65eD99CB8b3b65CE378e3E5CaE545B751f4DAc6,5272
0x76eF08c772Db73E05fa00398746FbA31eFC5804F,5272
0x135557B95fc164cB152e853568b25880Ba06F94A,5272
0x3547DbcD816bc17D7dE0e7e67a8B8bEE74384ACF,5272
0x490fEA7Eb0cf4Bb39F7Ae181911F3bF5aDE8a784,5272
0x7DA6dBF3a4813586817Abd2Ded6852d522BCA81E,5272
0x2127E025DFF8715A6086FeA5B23D19DBF731ce4c,78873
0x4c7Dd87EcBdcE85cAC27936A9D19c9B4d3A18cB1,777777
0xE16C1Ecc6529280A33e064377947e31D24d2b23F,777777
0xE2F462C467C91ed85A72F0a0E07a4305FfBd5698,5272
0xB3CB3c003C640053252bcB94E82403CD042db2Fd,5272
0x9E6bF386154F9721537a3D079B38f3D054ceE985,5272
0xf6a4D5F8a78063b33EB2b9f29ECfF770e184cc69,5272
